,character,line
984,CLINT BARTON," (to Thor) Yeah, look, I know that I'm way outside my paygrade here. But she still isn't here, is she?"
985,THOR," No, that's my point–"
986,CLINT BARTON," It can't– be undone. Or that's at least what the red floating guy had to say. (shouts) Maybe you wanna go talk to him, okay? GO GRAB YOUR HAMMER, AND YOU GO FLY AND TALK TO HIM!"
987,CLINT BARTON, It was supposed to be me. She sacrificed her life for that goddamn stone. She bet her life on it.
988,BRUCE BANNER, She's not coming back. We have to make it worth it. We have to.
989,STEVE ROGERS, We will.
990,ROCKET, Boom!
991,ROCKET," All right. The glove's ready. Question is, who's gonna snap their freaking fingers?"
992,THOR, I'll do it.
993,SCOTT LANG, Excuse me?
994,THOR, It's okay.
995,EVERYONE," (holding up Thor) No, no, no, whoa. Stop. Stop. Wait a sec. Hey, hey–"
996,STEVE ROGERS," Wait, wait, Thor, just wait. We haven't decided who's gonna put that on yet."
997,SCOTT LANG, We should at least discuss it.
998,THOR," No, no, sitting here staring at that thing is not gonna bring everybody back. I'm the strongest Avenger, okay? So this responsibility falls upon me. It's my duty."
999,TONY STARK, It's not about that–
1000,THOR, (hushes everyone up) It's not that– Stop it! Just let me! (he tears up) Just let me do it. Just let me do something good. Something right.
1001,TONY STARK," Look– It's not just the fact that that glove is channeling enough energy to light up a continent, I'm telling you, you're in no condition."
1002,THOR, What do you– What do you think is coursing through my veins right now?
1003,RHODEY, Cheez Whiz?
1004,THOR, Lightning.
1005,TONY STARK, Yeah.
1006,BRUCE BANNER," Lightning won't help you, pal. It's gotta be me."
1007,BRUCE BANNER, You saw what those stones did to Thanos. It almost killed him. None of you could survive.
1008,STEVE ROGERS, How do we know you will?
1009,BRUCE BANNER, We don't. But the radiation's mostly gamma.  It's like...I was made for this.
1010,TONY STARK," Good to go, yeah?"
1011,BRUCE BANNER, Let's do it.
1012,TONY STARK," You remember– everyone Thanos snapped away five years ago and just bringing them back to now, today. Don't change anything from the last five years."
1013,BRUCE BANNER, Got it.
1014,TONY STARK," F.R.I.D.A.Y., do me a favor and activate Barn Door Protocol. Will you?"
1015,F.R.I.D.A.Y.," Yes, boss."
1016,BRUCE BANNER, Everybody comes home.
1017,THOR, Take it off! Take it off!
1018,STEVE ROGERS," No, wait. Bruce, are you okay?"
1019,TONY STARK," Talk to me, Banner."
1020,BRUCE BANNER, I'm okay. I'm okay.
1021,STEVE ROGERS, Bruce!
1022,TONY STARK, Don't move him.
1023,BRUCE ROGERS,  Did it work?
1024,THOR, Worth a shot. It's over. It's okay.
1025,CLINT BARTON, (struggling to speak from sheer happiness) Honey. Honey.
1026,SCOTT LANG, Guys– I think it worked!
1027,ROCKET, I can't breathe. I can't breathe! I can't breathe.
1028,RHODEY, Canopy. Canopy. Canopy. 
1029,BRUCE BANNER," Rhodey, Rocket, get outta here!"
1030,ROCKET, Hurry up! Hurry up! Come on!
1031,BRUCE BANNER, Rhodey!
1032,RHODEY," Mayday, mayday! Does anybody copy? We're in the lower level, it's flooding!"
1033,SCOTT LANG, What?
1034,RHODEY, We're drowning! Does anybody copy? Mayday!
1035,SCOTT LANG," Wait! I'm here! I'm here, can you hear me?"
1036,CLINT BARTON, Cap?
1037,CLINT BARTON,  Damn.
1038,THANOS, Daughter.
1039,NEBULA," Yes, Father. So, this is the future. Well done."
1040,THANOS," So, this is the future. Well done."
1041,NEBULA," Thank you, Father. They suspected nothing."
1042,THANOS, The arrogant never do.
1043,THANOS, Go. Find the stones. Bring them to me.
1044,NEBULA, What will you do?
1045,THANOS, Wait.
1046,GAMORA," Tell me something. In the future, what happens to you and me?"
1047,NEBULA, I tried to kill you. Several times.
1048,NEBULA," But eventually,"
1049,GAMORA, 
1050,TONY STARK," Come on, buddy. Wake up. That's my man. You lose this again, I'm keeping it."
1051,STEVE ROGERS, What happened?
1052,TONY STARK, You messed with time.
1053,TONY STARK, What's he been doing?
1054,THOR, Absolutely nothing.
1055,STEVE ROGERS, Where are the stones?
1056,TONY STARK, Somewhere under all this. All I know is he doesn't have them.
1057,STEVE ROGERS, So we keep it that way.
1058,THOR," You know it's a trap, right?"
1059,TONY STARK, Yeah. And I don't much care.
1060,THOR, Good. Just as long we are all in agreement.  Let's kill him properly this time.
1061,THANOS," You could not live with your own failure. And where did that bring you? Back to me. I thought by eliminating half of life, the other half would thrive. But you’ve shown me that’s impossible. And as long as there are those that remember what was, there will always be those that are unable to accept what can be. They will resist."
1062,TONY STARK, Yep. We're all kinds of stubborn.
1063,THANOS," I'm thankful. Because now, I know"
1064,STEVE ROGERS, Born out of blood.
1065,THANOS, They'll never know it. Because you won't be
1066,RHODEY," See you on the other side, man."
1067,SCOTT LANG, Hang on! I'm coming!
1068,CLINT BARTON," Oh, hey– I know you."
1069,NEBULA, Father. 
1070,NEBULA, I have the stones.
1071,CLINT BARTON, What?!
1072,GAMORA, Stop.
1073,NEBULA, You're betraying us?
1074,NEBULA, You don't have to do this.
1075,NEBULA, I am this.
1076,GAMORA," No, you're not."
1077,NEBULA, You've seen what we become.
1078,GAMORA," Nebula, listen to her."
1079,NEBULA, You can change.
1080,NEBULA, He won't let me.
1081,GAMORA, NO!
1082,TONY STARK," Okay, Thor. Hit me."
1083,F.R.I.D.A.Y.," Boss, wake up!"
1084,THOR, I knew it!
1085,THANOS," In all my years of conquest– violence– slaughter– It was never personal. But I'll tell you now– what I'm about to do to your stubborn, annoying little planet– I'm gonna enjoy it. Very, very much."
1086,SAM WILSON," Hey, Cap, you read me?"
1087,SAM WILSON," Cap, it's Sam. Can you hear me?"
1088,SAM WILSON, On your left.
1089,DOCTOR STRANGE, Is that everyone?
1090,WONG," What, you wanted more?"
1091,STEVE ROGERS, AVENGERS!  –assemble.
1092,THOR," No, no, give me that. You have the little one. "
1093,PETER PARKER," Hey! Holy cow! You will not believe what's been going on. Do you remember when we were in space? And I got all dusty? I must've passed out, Because I woke up, and you were gone. But Doctor Strange was there, right? He was like, ""It's been five years. Come on, they need us."" And then he started doing the yellow sparkly thing that he does all the time– "
1094,TONY STARK," He did? Oh, God."
1095,PETER PARKER, What are you doing?
1096,PETER PARKER," Oh, this is nice."
1097,PETER QUILL, Gamora?  I thought I lost you.
1098,PETER QUILL, Ow.
1099,GAMORA,  me!
1100,PETER QUILL, You missed the first time– Then you got them both the second time.
1101,GAMORA,  This is the one? Seriously?
1102,NEBULA," The choices were him, or a tree."
1103,CLINT BARTON," Cap, what do you want me to do with this damn thing?"
1104,STEVE ROGERS, Get those stones as far away as possible!
1105,BRUCE BANNER, No! We need to get them back where they came from.
1106,TONY STARK, No way to get them back. Thanos destroyed the quantum tunnel.
1107,SCOTT LANG, Hold on!  That wasn't our only time machine.
1108,STEVE ROGERS," Anyone see an ugly, brown van up there?"
1109,VALKYRIE, Yes! But you're not gonna like where it's parked!
1110,TONY STARK," Scott, how long you need to get that thing working?"
1111,SCOTT LANG, Maybe ten minutes.
1112,STEVE ROGERS, Get it started. We'll get the stones to you.
1113,HOPE VAN DYNE," We're on it, Cap."
1114,TONY STARK," Hey. You said one out of 14 million, we win, yeah? Tell me this is it."
1115,DOCTOR STRANGE," If I tell you what happens, it won't happen."
1116,TONY STARK, You better be right.
1117,THE WASP, It's a mess back here.
1118,SCOTT LANG, It's– it's dead.
1119,THE WASP, What?
1120,SCOTT LANG, It's dead. I have to hotwire it.
1121,THANOS, Where's Nebula?
1122,CORVUS GLAIVE, She's not responding.
1123,EBONY MAW ,  Sire!
1124,T'CHALLA, Clint! Give it to me.
1125,WANDA MAXIMOFF, You took everything from me.
1126,THANOS, I don't even know who you are.
1127,WANDA MAXIMOFF, You will.
1128,PETER PARKER, I got it! 
1129,PETER PARKER, Activate Instant Kill!
1130,THANOS, Rain fire!
1131,CORVUS GLAIVE," But sire, our troops!"
1132,THANOS, Just do it!
1133,PEPPER POTTS," Uh, is anyone else seeing this?"
1134,PETER PARKER," I got this. I got this! Okay, I don't got this. Help! Somebody, help!"
1135,STEVE ROGERS," Hey, Queens, heads up."
1136,PEPPER POTTS," Hang on. I got you, kid. "
1137,PETER PARKER," Hey! Nice to meet you– OH, MY GOD!"
1138,SAM, What the hell is this?
1139,TONY STARK," F.R.I.D.A.Y., what are they firing at?"
1140,F.R.I.D.A.Y., Something just entered the upper atmosphere.
1141,ROCKET," Oh, yeah!"
1142,STEVE ROGERS," Danvers, we need an assist here."
1143,PETER PARKER, Hi. I'm– Peter Parker.
1144,CAROL DANVERS," Hey, Peter Parker. You got something for me?"
1145,PETER PARKER,  I don't know how you're gonna get it through all that.
1146,WANDA MAXIMOFF, Don't worry.
1147,OKOYE, She's got help.
1148,THANOS, I am– inevitable.
1149,TONY STARK, And I– am– Iron Man.
1150,PETER PARKER," Mr. Stark?  Hey– Mr. Stark? Can you hear me? It's Peter. Hey. We won, Mr. Stark– We won, Mr. Stark. We won. You did it, sir. You did it."
1151,PETER PARKER, I'm sorry– Tony–
1152,PEPPER POTTS, Hey.
1153,TONY STARK,"  Hey, Pep.."
1154,PEPPER POTTS, F.R.I.D.A.Y.?
1155,F.R.I.D.A.Y., Life functions critical.
1156,PEPPER POTTS, Tony. Look at me.  We're gonna be okay. You can rest now.
1157,TONY STARK," Everybody wants a happy ending, right? But it doesn't always roll that way. Maybe this time. I'm hoping if you play this back, it's in celebration. I hope families are reunited, I hope we get it back, and something like a normal version of the planet has been restored. If there ever was such a thing. God, what a world. Universe, now. If you told me ten years ago that we weren't alone, let alone, you know, to this extent, I mean, I wouldn't have been surprised. But come on, you know? The epic forces of darkness and light that have come into play. And, for better or worse, that's the reality Morgan's gonna have to find a way to grow up in."
1158,TONY STARK," So I thought I'd probably better record a little greeting... In the case of an untimely death on my part. I mean, not that, death at any time isn't untimely. This time travel thing that we're gonna try and pull off tomorrow, it's– it's got me scratching my head about the survivability of it all. That's the thing. Then again, that's the hero gig. Part of the journey is the end.  I love you 3,000."
1159,CLINT BARTON," You know, I wish there was a way– that I could let her know. That we won.  We did it."
1160,WANDA MAXIMOFF, She knows– They both do.
1161,HAPPY," How you doing, Squirt?"
1162,MORGAN STARK, Good.
1163,HAPPY, You good? Okay. You hungry?
1164,MORGAN STARK, Mm-hmm.
1165,HAPPY, What do you want?
1166,MORGAN STARK, Cheeseburgers.
1167,HAPPY, You know your dad liked cheeseburgers? I'm gonna get you all the cheeseburgers you want.
1168,MORGAN STARK, Okay.
1169,VALKYRIE," So, when can we expect you back?"
1170,THOR, Um– about that–
1171,VALKYRIE, Thor. Your people need a king.
1172,THOR," No, they already have one."
1173,VALKYRIE, That's funny. You're being serious?
1174,THOR," It's time for me to be who I am rather than who I'm supposed to be. But you, you're a leader. That's who you are."
1175,VALKYRIE, You know I'd make a lot of changes around here.
1176,THOR, I'm counting on it. Your Majesty.
1177,VALKYRIE, What will you do?
1178,THOR," I'm not sure. For the first time in a thousand years, I– I have no path. I do have a ride, though."
1179,ROCKET," Move it or lose it, hairbag."
1180,THOR," Well, here we are. Tree! Good to see you. Well– "
1181,QUILL," Hey, just so you know, this is my ship still. I'm in charge."
1182,THOR," I know. I know. Of course, you are. Of course."
1183,QUILL," See, you say of course, but then you touch the map. It makes you think that maybe you didn't realize I was in charge."
1184,THOR, Quail– you– that– that's your own–
1185,QUILL, Quail?
1186,THOR, –insecurities in there. Okay? I'm merely trying to be of service and assisting.
1187,QUILL, It's Quill.
1188,THOR, That's what I said.
1189,DRAX, You should fight one another for the honor of leadership.
1190,NEBULA, Sounds fair.
1191,QUILL, It's not necessary.
1192,THOR, It's not.
1193,QUILL, Okay?
1194,ROCKET," I got some blasters, unless you guys wanna use knives."
1195,MANTIS,"  Oh, yes. Please, use knives."
1196,DRAX," Yeah, knives."
1197,GROOT, I am Groot.
1198,QUILL, Not necessary.
1199,THOR, There shall be no knifing one another. Everybody knows who's in charge.
1200,QUILL,"  Me, right?"
1201,THOR," Yes, you. Of course. Of course. Of course."
1202,BRUCE BANNER," Now, remember– You have to return the stones to the exact moment you got them. Or you're gonna open up a bunch of nasty alternative realities."
1203,STEVE ROGERS," Don't worry, Bruce. Clip all the branches."
1204,BRUCE BANNER," You know, I tried. When I had the gauntlet, the stones, I really tried to bring her back.  I miss them, man."
1205,STEVE ROGERS," Me, too."
1206,SAM WILSON," You know, if you want, I can come with you."
1207,STEVE ROGERS," You're a good man, Sam. This one's on me, though."
1208,STEVE ROGERS, Don't do anything stupid 'till I get back.
1209,BUCKY BARNES, How can I? You're taking all the stupid with you.
1210,BUCKY BARNES," Gonna miss you, Buddy."
1211,STEVE ROGERS," It's gonna be okay, Buck."
1212,SAM WILSON, How long is this gonna take?
1213,BRUCE BANNER, For him? As long as he needs. For us? Five seconds.
1214,BRUCE BANNER," Ready, Cap? Alright. We'll meet"
1215,STEVE ROGERS, You bet.
1216,BRUCE BANNER," Going quantum. Three, two, one–"
1217,BRUCE BANNER," And returning in, five, four, three, two, one–"
1218,SAM WILSON, Where is he?
1219,BRUCE BANNER, I don't know. He blew right by his time stamp. He should be here.
1220,SAM WILSON," Well, get him back."
1221,BRUCE BANNER, I'm trying.
1222,SAM WILSON, Get him the hell back!
1223,BRUCE BANNER," Hey, I said, I'm trying!"
1224,BUCKY BARNES, Sam.
1225,BUCKY BARNES, Go ahead.
1226,SAM WILSON, Cap?
1227,STEVE ROGERS," Hi, Sam."
1228,SAM WILSON," So did something go wrong, or did something go right?"
1229,STEVE ROGERS," Well, after I put the stones back, I thought, maybe I'll try some of that life Tony was telling me to get."
1230,SAM WILSON, How'd that work out for you?
1231,STEVE ROGERS, It was beautiful.
1232,SAM WILSON, I'm happy for you. Truly.
1233,STEVE ROGERS, Thank you.
1234,SAM WILSON, Only thing bumming me out is the fact I have to live in a world without Captain America.
1235,STEVE ROGERS," Oh, That reminds me.  Try it on."
1236,STEVE ROGERS, How does it feel?
1237,SAM WILSON, Like it's someone else's.
1238,STEVE ROGERS, It isn't.
1239,SAM WILSON, Thank you. I'll do my best.
1240,STEVE ROGERS, That's why it's yours. 
1241,SAM WILSON,  You wanna tell me about her?
1242,STEVE ROGERS,"  No. No, I don't think I will."
